LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
0d4ac93c842bcf85fbe1b15ef502124382353dc6262a62968abdc5369e964ca3,2,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49.0,,"£600 - £1,500"
0d4ac93c842bcf85fbe1b15ef502124382353dc6262a62968abdc5369e964ca3,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
0d4ac93c842bcf85fbe1b15ef502124382353dc6262a62968abdc5369e964ca3,4,High performance external doors,High performance external doors,48.0,,"£900 - £1,200"
14c6ba2c7f45516b45faeb18e4332715be6c355692ad7a921c14694cfe936ee6,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
14c6ba2c7f45516b45faeb18e4332715be6c355692ad7a921c14694cfe936ee6,2,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
14c6ba2c7f45516b45faeb18e4332715be6c355692ad7a921c14694cfe936ee6,3,Draught proofing,Draught proofing,10.0,,£150 - £250
14c6ba2c7f45516b45faeb18e4332715be6c355692ad7a921c14694cfe936ee6,4,Heating controls (room thermostat),Heating controls (room thermostat),14.0,,£220 - £250
14c6ba2c7f45516b45faeb18e4332715be6c355692ad7a921c14694cfe936ee6,5,Replace boiler with new condensing boiler,Condensing boiler,20.0,,"£2,200 - £3,500"
14c6ba2c7f45516b45faeb18e4332715be6c355692ad7a921c14694cfe936ee6,6,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
21fd5932670cb55e89e0ebf05a5550c6ff427aaa5b5a00a86a868d3b9ddc3b18,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
21fd5932670cb55e89e0ebf05a5550c6ff427aaa5b5a00a86a868d3b9ddc3b18,2,Draught proofing,Draught proofing,10.0,,£150 - £250
21fd5932670cb55e89e0ebf05a5550c6ff427aaa5b5a00a86a868d3b9ddc3b18,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
2345e3d77e4aa9a860b0fe824edba6f23bc205256a4d9a1c0e61ab51b405c369,1,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49.0,,"£600 - £1,500"
9be96472d09d21236ed65dbeefc9a1fa3c6c238e07f83b91336f4e739a360532,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
9be96472d09d21236ed65dbeefc9a1fa3c6c238e07f83b91336f4e739a360532,2,Change heating to gas condensing boiler,Gas condensing boiler,29.0,,"£3,500 - £10,000"
9be96472d09d21236ed65dbeefc9a1fa3c6c238e07f83b91336f4e739a360532,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
9c6c0b28548440c1f48249747b9e7f1a925d3744b36075275bfb2d495603fac9,1,Draught proofing,Draught proofing,10.0,,£150 - £250
9c6c0b28548440c1f48249747b9e7f1a925d3744b36075275bfb2d495603fac9,2,Heat recovery system for mixer showers,Heat recovery system for mixer showers,49.0,,"£600 - £1,500"
9c6c0b28548440c1f48249747b9e7f1a925d3744b36075275bfb2d495603fac9,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
9c6c0b28548440c1f48249747b9e7f1a925d3744b36075275bfb2d495603fac9,4,High performance external doors,High performance external doors,48.0,,"£900 - £1,200"
c53d7d16e071fa29ff5dced8cddaf9a517b9aec6f2ad05d4f51f8b6b0799ee9b,1,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£120 - £140
d5d9765b976b911ca9950c02913df34d665bbe8023304253ef6943c1618d10e8,1,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
d5d9765b976b911ca9950c02913df34d665bbe8023304253ef6943c1618d10e8,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£5,000 - £10,000"
d5d9765b976b911ca9950c02913df34d665bbe8023304253ef6943c1618d10e8,3,Draught proofing,Draught proofing,10.0,,£150 - £250
d5d9765b976b911ca9950c02913df34d665bbe8023304253ef6943c1618d10e8,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
f24aab31ae9765f9799750c944bf75fd75925da5ae98b43bcca64036d0a6f34e,1,Cavity wall insulation,Cavity wall insulation,6.0,,"£900 - £1,500"
f24aab31ae9765f9799750c944bf75fd75925da5ae98b43bcca64036d0a6f34e,2,Internal wall insulation,External wall insulation,7.0,,"£7,500 - £11,000"
f24aab31ae9765f9799750c944bf75fd75925da5ae98b43bcca64036d0a6f34e,3,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£4,500 - £6,000"
2b8f72deb66f4d1c807025f57e8bf22b964dcf1e2f0ebd93e43652ebed5d5333,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£900 - £1,200"
